frame,elapsed_ms
2369,16.577137
2370,16.797176
2371,16.620044
2372,16.659118
2373,16.872657
2374,16.510275
2375,16.560870
2376,16.745356
2377,16.648604
2378,16.723834
2379,16.611988
2380,16.945392
2381,16.335601
2382,16.731379
2383,16.669985
2384,16.663948
2385,16.811671
2386,16.527381
2387,16.573705
2388,16.743486
2389,16.696140
2390,16.691041
2391,16.629194
2392,16.765411
2393,16.477506
2394,16.786936
2395,16.630303
2396,16.656288
2397,16.690617
2398,16.736441
2399,16.516144
2400,16.777779
2401,16.650600
2402,16.703748
2403,16.611684
2404,16.667194
2405,16.583899
2406,16.790761
2407,16.606069
2408,16.699001
2409,16.672830
2410,16.780631
2411,16.444188
2412,16.771686
2413,16.635684
2414,16.719877
2415,16.617927
2416,16.661490
2417,16.688844
2418,16.700486
2419,16.687016
2420,16.587481
2421,16.666991
2422,16.699702
2423,16.584570
2424,16.760135
2425,16.644044
2426,16.744819
2427,16.612232
2428,16.640791
2429,16.601273
2430,16.872264
2431,16.716833
2432,16.487501
2433,16.680975
2434,16.764284
2435,16.613786
2436,16.628799
2437,16.640532
2438,16.674785
2439,16.653245
2440,16.663670
2441,16.601635
2442,16.975650
2443,16.558351
2444,16.522948
2445,16.689476
2446,16.678547
2447,16.620192
2448,16.693994
2449,16.661264
2450,16.682728
2451,16.661041
2452,16.649277
2453,16.608102
2454,16.749715
2455,16.660350
2456,16.655510
2457,16.674688
2458,16.704206
2459,16.568357
2460,16.904286
2461,16.488290
2462,16.680091
2463,16.733914
2464,16.593824
2465,16.587122
2466,16.796313
2467,16.640881
2468,16.770803
2469,16.546047
2470,16.676865
2471,16.584075
2472,16.742687
2473,16.771535
2474,16.742077
2475,16.588814
2476,16.574452
2477,16.587735
2478,16.749755
2479,16.732654
2480,16.588100
2481,16.722036
2482,16.683381
2483,16.587461
2484,16.778425
2485,16.669152
2486,16.695145
2487,16.724714
2488,16.587257
2489,16.513213
2490,16.842694
2491,16.728905
2492,16.624387
2493,16.643690
2494,16.653761
2495,16.513622
2496,16.851265
2497,16.653072
2498,16.671058
2499,16.700448
2500,16.548566
2501,16.580071
2502,16.774188
2503,16.640414
2504,16.691935
2505,16.647574
2506,16.656994
2507,16.572169
2508,16.748502
2509,16.662170
2510,16.724640
2511,16.673026
2512,16.648834
2513,16.543189
2514,16.778572
2515,16.661278
2516,16.630234
2517,16.670502
2518,16.689567
2519,16.583603
2520,16.737409
2521,16.662798
2522,16.666555
2523,16.699866
2524,16.666508
2525,16.554371
2526,16.769398
2527,16.671898
2528,16.653231
2529,16.750324
2530,16.630166
2531,16.590655
2532,16.703504
2533,16.672642
2534,16.691248
2535,16.754354
2536,16.699469
2537,16.426729
2538,16.770368
2539,16.781977
2540,16.541410
2541,16.740103
2542,16.588969
2543,16.578762
2544,16.790982
2545,16.613432
2546,16.684200
2547,16.683513
2548,16.635381
2549,16.593773
2550,16.752720
2551,16.715572
2552,16.657467
2553,16.673589
2554,16.657103
2555,16.597749
2556,16.712681
2557,16.645743
2558,16.663820
2559,16.732055
2560,16.605767
2561,16.590052
2562,16.824750
2563,16.678807
2564,16.605790
2565,16.638160
2566,16.685633
2567,16.627827
2568,16.801939
2569,16.533728
2570,16.661276
2571,16.695316
2572,16.681314
2573,16.578371
2574,16.748877
2575,16.796588
2576,16.520509
2577,16.656448
2578,16.683286
2579,16.580483
2580,16.742441
2581,16.713109
2582,16.638673
2583,16.695483
2584,16.632283
2585,16.576782
2586,16.752604
2587,16.669740
2588,16.660940
2589,16.644960
2590,16.658044
2591,16.620785
2592,16.867390
2593,16.549836
2594,16.671573
2595,16.659203
2596,16.662757
2597,16.572210
2598,16.773992
2599,16.663599
2600,16.696773
2601,16.616858
2602,16.650308
2603,16.612548
2604,16.823831
2605,16.583978
2606,16.684391
2607,16.644753
2608,16.706713
2609,16.632835
2610,16.680276
2611,16.695572
2612,16.648988
2613,16.696285
2614,16.697941
2615,16.504454
2616,16.776124
2617,16.620046
2618,17.012761
2619,16.442211
2620,16.560443
2621,16.587773
2622,16.743766
2623,16.687504
2624,16.767505
2625,16.530222
2626,16.675406
2627,16.595276
2628,16.754723
2629,16.655700
2630,16.651129
2631,16.704209
2632,16.629936
2633,16.619045
2634,16.720647
2635,16.665792
2636,16.703250
2637,16.644945
2638,16.690779
2639,16.561312
2640,16.826923
2641,16.612247
2642,16.649054
2643,16.720865
2644,16.614613
2645,16.580740
2646,16.790271
2647,16.620143
2648,16.752583
2649,16.588469
2650,16.670107
2651,16.586756
2652,17.040065
2653,16.375422
2654,16.675111
2655,16.648969
2656,16.696208
2657,16.551703
2658,17.785288
2659,15.641598
2660,16.702306
2661,16.624090
2662,16.657778
2663,16.598300
2664,16.768772
2665,16.639082
2666,16.688207
2667,16.640971
2668,16.771883
2669,16.481093
2670,16.743773
2671,16.834669
2672,16.543661
2673,16.697638
2674,16.667593
2675,16.565477
2676,16.759219
2677,16.634141
2678,16.682040
2679,16.723701
2680,16.644360
2681,16.536133
2682,16.734931
2683,16.764477
2684,16.587316
2685,16.661133
2686,16.662208
2687,16.609694
2688,16.703953
2689,16.673898
2690,16.661587
2691,16.696215
2692,16.676255
2693,16.551845
2694,16.744186
2695,16.702080
2696,16.626441
2697,16.652287
2698,16.666451
2699,16.595828
2700,16.805781
2701,16.593784
2702,16.659869
2703,16.766615
2704,16.603209
2705,16.577527
